"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명"
"3230000","CDFH3301062020000016","20200710","","01","영업/정상","13","영업중","","","","","02-422-4365","","","서울특별시 송파구 석촌동 210 공익빌딩","서울특별시 송파구 백제고분로 276 공익빌딩 3층 2호 (석촌동)","05679","(주) 더랩스휘트니스 석촌고분","20200710174204","I","2019-12-06 23:02:00.0","","208529.294612776","444440.154041662","","","","","","","","",""
"3190000","CDFH3301062021000009","20211013","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동작구 상도1동 678 상도한의원","서울특별시 동작구 양녕로 269-1 상도한의원 지1층 (상도1동)","06919","더 본짐","20211013132900","I","2020-10-30 23:05:00.0","","195401.439907224","444649.359096315","","","","","","","","",""
"3150000","CDFH3301062020000016","20200714","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 마곡동 797-7 퀸즈파크텐 508호","서울특별시 강서구 마곡중앙6로 66 퀸즈파크텐 508호 (마곡동)","07803","번타임 코리아","20200716185625","U","2019-12-06 23:08:00.0","","","","","","","","","","","",""
"3000000","CDFH3301062020000007","20200720","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 숭인동 76 롯데캐슬 천지인","서울특별시 종로구 종로 347 지하119~129호 (숭인동 롯데캐슬 천지인)","03113","(주) 케이디스포츠 스포애니 동묘앞역점","20200721091004","I","2019-12-06 22:02:00.0","","201359.53353905","452395.659064842","","","","","","","","",""
"3000000","CDFH3301062020000006","20200717","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 숭인동 76 롯데캐슬 천지인","서울특별시 종로구 종로 347 지하119~129호 (숭인동 롯데캐슬 천지인)","03113","스포애니 동묘앞역점","20200721091838","I","2019-12-06 22:03:00.0","","201359.53353905","452395.659064842","","","","","","","","",""
"3140000","CDFH3301062013000007","20131030","","03","폐업","03","폐업","20200602","","","","","","","서울특별시 양천구 신정동 1320번지","서울특별시 양천구 신정이펜2로 14 (신정동 서남 프라자2)","08049","커브스신월클럽","20200602112526","U","2019-12-06 00:04:00.0","","185099.82674039","445627.497359739","","","","","","","","",""
"3060000","CDFH3301062020000003","20200713","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 망우동 442-21 까치유치원","서울특별시 중랑구 용마산로 448 까치유치원 23층 (망우동)","02188","리얼타임 피트니스","20200713131202","I","2019-12-06 23:05:00.0","","208591.021424155","454321.403758328","","","","","","","","",""
"3200000","CDFH3301062020000010","20200713","","01","영업/정상","13","영업중","","","","","","","","서울특별시 관악구 봉천동 729-32 해태보라매타워","서울특별시 관악구 보라매로3길 29 3층 07 08호 (봉천동 해태보라매타워)","08708","제이디피티샵","20200713184340","I","2019-12-06 23:05:00.0","","193306.240555398","443221.321009043","","","","","","","","",""
"3210000","CDFH3301062021000019","20210630","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 잠원동 14-16 금산빌딩","서울특별시 서초구 나루터로 75 금산빌딩 지하1층 (잠원동)","06525","헬링짐","20210630151749","I","2020-12-07 00:02:00.0","","201520.254586175","445960.835289042","","","","","","","","",""
"3020000","CDFH3301062006000002","20060523","","01","영업/정상","13","영업중","","","","","02-6393-1375","","","서울특별시 용산구 이태원동 116-1 지하2층","서울특별시 용산구 이태원로27가길 26 (이태원동 해밀톤호텔 별관)","04350","해밀톤 휘트니스센터","20200713170919","U","2019-12-06 23:05:00.0","","199357.143999617","448100.802302867","","","","","","","","",""
"3030000","CDFH3301062014000001","20140319","","04","취소/말소/만료/정지/중지","35","직권말소","20200722","","","","02-2297-8230","","133784","서울특별시 성동구 행당동 346","서울특별시 성동구 행당로 84 401402403호 (행당동 행당한진타운 종합상가)","04717","휘트니스홀릭","20200722160428","U","2019-12-06 22:04:00.0","","202511.142930696","450401.303715561","","","","","","","","",""
"3030000","CDFH3301062010000003","20101130","","04","취소/말소/만료/정지/중지","35","직권말소","20200722","","","","02-2298-8889","","133812","서울특별시 성동구 마장동 474-3 4층","","","고려헬스클럽","20200722160407","U","2019-12-06 22:04:00.0","","203235.0516216","452063.440192474","","","","","","","","",""
"3030000","CDFH3301062005000002","20050425","","04","취소/말소/만료/정지/중지","35","직권말소","20200722","","","","2115-2525","","133826","서울특별시 성동구 성수동2가 231-1 성동마트 4층","서울특별시 성동구 뚝섬로 447  (성수동2가성동마트 4층)","","(주)청명씨앤씨","20200722160407","U","2019-12-06 22:04:00.0","","205260.827743854","448399.948660115","","","","","","","","",""
"3030000","CDFH3301062004000005","20040628","","04","취소/말소/만료/정지/중지","35","직권말소","20200722","","","","2296-5118","","133859","서울특별시 성동구 하왕십리동 1016-1","서울특별시 성동구 행당로9길 42  (하왕십리동)","","우정여성요가헬스클럽","20200722160407","U","2019-12-06 22:04:00.0","","202443.147308649","450903.039075278","","","","","","","","",""
"3030000","CDFH3301062004000003","20040601","","04","취소/말소/만료/정지/중지","35","직권말소","20200722","","","","","","133834","서울특별시 성동구 성수동2가 289-10 제강빌딩 802호","서울특별시 성동구 성수이로 113  (성수동2가제강빌딩 802호)","","굿모닝헬스","20200722160407","U","2019-12-06 22:04:00.0","","204976.652050117","449220.696790644","","","","","","","","",""
"3030000","CDFH3301062003000002","20031231","","04","취소/말소/만료/정지/중지","35","직권말소","20200722","","","","2298-1542","","133070","서울특별시 성동구 행당동 346 행당한진타운 상가동 제201호","","","골드휘트니스클럽","20200722160407","U","2019-12-06 22:04:00.0","","202511.142930696","450401.303715561","","","","","","","","",""
"3030000","CDFH3301061997000005","19970304","","04","취소/말소/만료/정지/중지","35","직권말소","20200722","","","","296-7474","","133852","서울특별시 성동구 응봉동 98 현대종합상가","","","스타남여휘트니스클럽","20200722160407","U","2019-12-06 22:04:00.0","","202665.642323691","449864.878502796","","","","","","","","",""
"3030000","CDFH3301061996000002","19960613","","04","취소/말소/만료/정지/중지","35","직권말소","20200722","","","","293-7224","","133880","서울특별시 성동구 홍익동 199","서울특별시 성동구 왕십리로24길 36  (홍익동)","","청도헬스","20200722160407","U","2019-12-06 22:04:00.0","","202995.352852359","451483.469225454","","","","","","","","",""
"3030000","CDFH3301061996000001","19960214","","04","취소/말소/만료/정지/중지","35","직권말소","20200722","","","","295-4228","","133809","서울특별시 성동구 금호동4가 544 547 548-1","서울특별시 성동구 독서당로 302  (금호동4가547 548-1)","","종로헬스","20200722160407","U","2019-12-06 22:04:00.0","","201939.3500876","449482.978412921","","","","","","","","",""
"3030000","CDFH3301061993000003","19930727","","04","취소/말소/만료/정지/중지","35","직권말소","20200722","","","","467-7350","","133835","서울특별시 성동구 성수동2가 315-70","서울특별시 성동구 연무장7길 12  (성수동2가)","","유니온헬스클럽","20200722160407","U","2019-12-06 22:04:00.0","","204780.982340553","449043.607254236","","","","","","","","",""
"3150000","CDFH3301062016000007","20160704","","01","영업/정상","13","영업중","","","","","02-2664-7984","","","서울특별시 강서구 마곡동 739-1 마곡더블유타워 10층 1001~1007호","서울특별시 강서구 방화대로 294 10층 1001~1007호 (마곡동 마곡더블유타워)","07599","에이블짐 신방화역점","20200715203451","U","2019-12-06 23:07:00.0","","183758","451652","","","","","","","","",""
"3170000","CDFH3301062003000004","20031209","","01","영업/정상","13","영업중","","","","","808-5105~7","","","서울특별시 금천구 시흥동 831-6 (주)남성프라자","서울특별시 금천구 금하로 705 5층 (시흥동)","08573","에이엠지스포츠 금천점","20211013133711","U","2020-10-30 23:05:00.0","","191823.026849977","438834.378061101","","","","","","","","",""
"3120000","CDFH3301062019000003","20190227","","03","폐업","03","폐업","20200603","","","","","","","서울특별시 서대문구 연희동 188-4번지","서울특별시 서대문구 연희로 91 2층 (연희동)","03708","파트너짐","20200603111046","U","2019-12-06 00:05:00.0","","193771.461647341","451566.925068478","","","","","","","","",""
"3140000","CDFH3301062013000008","20131112","","01","영업/정상","13","영업중","","","","","","","158860","서울특별시 양천구 신정동 995-4번지 302호","서울특별시 양천구 목동로 181 302호 (신정동)","08022","Fitness2.0 PT Studio","20200603131539","U","2019-12-06 00:05:00.0","","187943.595","446944.9","","","","","","","","",""
"3180000","CDFH3301062004000003","20040219","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 양평동5가 76번지","서울특별시 영등포구 양평로24길 9 (양평동5가 양평동한신아파트)","07204","비타민헬스휘트니스","20200605175939","U","2019-12-06 00:07:00.0","","190394.571819262","448656.726986041","","","","","","","","",""
"3150000","CDFH3301062020000018","20200717","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 마곡동 798-12 마곡엠리체 3001302호","서울특별시 강서구 마곡중앙1로 26 마곡엠리체 301302호 (마곡동)","07807","브이업짐","20200717154851","I","2019-12-06 23:09:00.0","","","","","","","","","","","",""
"3150000","CDFH3301062020000017","20200717","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 화곡동 1060-17 지하1층","서울특별시 강서구 화곡로 195 지하1층 (화곡동)","07700","바디플렉스짐","20200717154835","I","2019-12-06 23:09:00.0","","186014.355926895","449014.442062397","","","","","","","","",""
"3140000","CDFH3301062017000002","20170315","","01","영업/정상","13","영업중","","","","","02-2652-0887","","","서울특별시 양천구 목동 404-137번지 2층","서울특별시 양천구 신목로 98 2층 (목동)","08007","FIT U.S.A(피투사)","20200608173355","U","2019-12-05 23:00:00.0","","188919.01389015","446786.559111612","","","","","","","","",""
